City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bismarck,US,46.8083,-100.7837,79.66,46,0,14.97,clear sky
80,Linxi,CN,39.7,118.4333,75.43,76,2,2.8,clear sky
81,Republic,US,37.12,-93.4802,100.06,27,0,5.01,clear sky
82,Pemangkat,ID,1.1667,108.9667,77.81,84,94,4.85,overcast clouds
83,Fukue,JP,32.6881,128.8419,80.35,87,94,14.12,overcast clouds
84,Svetlogorsk,BY,52.6333,29.7333,64.18,68,71,6.85,broken clouds
85,Neiafu,TO,-18.65,-173.9833,75.88,83,75,10.36,broken clouds
86,Saskylakh,RU,71.9167,114.0833,55.89,76,45,3.83,scattered clouds
87,Sechura,PE,-5.5569,-80.8222,70.12,68,12,16.78,few clouds
88,Nanlong,CN,31.3533,106.0631,71.6,88,0,2.89,clear sky
89,Dikson,RU,73.5069,80.5464,48.52,79,82,10.22,broken clouds
90,Calbuco,CL,-41.768,-73.1273,51.01,92,85,9.53,light rain
91,Nagorsk,RU,59.3172,50.8078,65.89,88,85,2.57,overcast clouds
92,Coruripe,BR,-10.1256,-36.1756,73.74,85,65,11.72,broken clouds
93,Tiksi,RU,71.6872,128.8694,48.85,78,31,6.17,scattered clouds
94,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,9.22,broken clouds
95,Nikolskoye,RU,59.7035,30.7861,66.09,98,62,4.41,broken clouds
96,Salinas,US,36.6777,-121.6555,83.21,67,0,9.53,clear sky
97,La Ronge,CA,55.1001,-105.2842,62.85,67,75,1.14,broken clouds
98,Flinders,AU,-34.5833,150.8552,53.38,94,10,2.59,clear sky
99,Senanga,ZM,-16.1167,23.2667,63.25,39,55,8.52,broken clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,78.51,88,93,1.01,overcast clouds
101,Ravar,IR,31.2656,56.8055,84.51,22,0,3.98,clear sky
102,Rajula,IN,21.05,71.4333,79.57,82,100,12.77,overcast clouds
103,Megion,RU,61.0296,76.1136,49.86,88,100,13.42,overcast clouds
104,Port Keats,AU,-14.25,129.55,64.31,31,33,6.8,scattered clouds
105,Hithadhoo,MV,-0.6,73.0833,81.25,72,100,4.36,overcast clouds
106,Chokurdakh,RU,70.6333,147.9167,59.04,44,84,11.81,broken clouds
107,Olot,ES,42.181,2.4901,77.54,54,1,3.83,clear sky
108,Zeljezno Polje,BA,44.4083,17.9319,70.59,46,54,1.61,broken clouds
109,Mataura,NZ,-46.1927,168.8643,38.48,69,80,1.36,broken clouds
110,Clyde River,CA,70.4692,-68.5914,43.93,75,100,1.19,overcast clouds
111,Mansa,IN,29.9833,75.3833,84.63,71,91,7.65,overcast clouds
112,Khani,GE,41.9563,42.9566,57.97,81,62,2.04,broken clouds
113,Yamada,JP,39.4667,141.95,74.41,85,86,1.07,overcast clouds
114,Concepcion Del Oro,MX,24.6333,-101.4167,77.83,25,74,10.04,broken clouds
115,Linhares,BR,-19.3911,-40.0722,67.08,83,2,3.15,clear sky
116,Luderitz,NA,-26.6481,15.1594,58.17,65,0,19.77,clear sky
